YEAR,QUARTER,MONTH,WEEK,DAY,DAY_OF_WEEK,IS_WEEKEND,SEASON,HOUR,TIME_OF_DAY,PART,CRIME_TYPE,CRIME_CATEGORY,SEVERITY,ARREST,QUALITY_OF_LIFE,ADDRESS,LAT,LON,DATEEND
2023,4,12,49,9,Saturday,True,Winter,12.0,Afternoon (12-17),Part1,ROBBERY,Violent,4,True,False,0 TURTLE ST & SPRING ST,43.071453,-76.158,2023-12-09
2023,4,12,51,23,Saturday,True,Winter,23.0,Evening (18-23),Part1,BURGLARY,Property,3,False,False,100 CUMBERLAND AVE,43.045001,-76.113467,2023-12-23
2023,3,8,31,3,Thursday,False,Summer,16.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,True,False,100 CURTIS ST,43.066302,-76.148759,2023-08-03
2023,2,6,25,20,Tuesday,False,Summer,12.0,Afternoon (12-17),Part1,BURGLARY,Property,3,False,False,100 CURTIS ST,43.066302,-76.148759,2023-06-20
2023,4,11,44,5,Sunday,True,Fall,12.0,Afternoon (12-17),Part1,MV THEFT,Property,2,False,False,100 CURTIS ST,43.066302,-76.148759,2023-11-05
2023,4,11,47,26,Sunday,True,Fall,17.0,Afternoon (12-17),Part1,ROBBERY,Violent,4,False,False,0 TURTLE ST & FIRST NORTH ST,43.07265,-76.157114,2023-11-26
2023,4,11,47,25,Saturday,True,Fall,22.0,Evening (18-23),Part1,MV THEFT,Property,2,False,False,100 DALE ST,43.075251,-76.142606,2023-11-25
2023,4,11,45,11,Saturday,True,Fall,21.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 CURTIS ST,43.066302,-76.148759,2023-11-11
2023,4,11,46,13,Monday,False,Fall,18.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-13
2023,3,9,38,24,Sunday,True,Fall,19.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 DALE ST,43.075251,-76.142606,2023-09-24
2023,3,7,30,27,Thursday,False,Summer,20.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 DALE ST,43.075251,-76.142606,2023-07-27
2023,2,5,21,26,Friday,False,Spring,9.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,100 DALE ST,43.075251,-76.142606,2023-05-26
2023,3,9,37,17,Sunday,True,Fall,4.0,Night (0-5),Part1,LARCENY,Property,2,False,False,100 DANFORTH TER,43.036561,-76.146317,2023-09-17
2023,1,2,8,26,Sunday,True,Winter,20.0,Evening (18-23),Part1,MV THEFT,Property,2,False,False,100 DEARBORN PL,43.030784,-76.157534,2023-02-26
2023,4,10,43,23,Monday,False,Fall,10.0,Morning (6-11),Part1,BURGLARY,Property,3,False,False,100 DARLINGTON RD,43.072485,-76.136128,2023-10-23
2023,4,11,46,17,Friday,False,Fall,21.0,Evening (18-23),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,100 DELONG AV,43.069955,-76.15023,2023-11-17
2023,4,12,52,25,Monday,False,Winter,16.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,100 DEWEY AVE,43.052821,-76.178901,2023-12-25
2023,4,12,49,5,Tuesday,False,Winter,16.0,Afternoon (12-17),Part1,MV THEFT,Property,2,False,False,100 DEWEY AV,43.052821,-76.178901,2023-12-05
2023,2,6,25,19,Monday,False,Summer,23.0,Evening (18-23),Part1,MV THEFT,Property,2,False,False,100 DELRAY AV,43.049674,-76.103696,2023-06-19
2023,2,5,21,23,Tuesday,False,Spring,13.0,Afternoon (12-17),Part1,BURGLARY,Property,3,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-05-23
2023,2,5,20,19,Friday,False,Spring,23.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-05-19
2023,2,4,17,29,Saturday,True,Spring,7.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-04-29
2023,4,12,50,16,Saturday,True,Winter,9.0,Morning (6-11),Part1,MURDER,Violent,5,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-12-16
2023,2,5,21,26,Friday,False,Spring,22.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-05-26
2023,2,5,21,24,Wednesday,False,Spring,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-05-24
2023,1,1,3,21,Saturday,True,Winter,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-01-21
2023,2,5,18,7,Sunday,True,Spring,0.0,Night (0-5),Part1,ROBBERY,Violent,4,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-05-07
2023,2,4,16,20,Thursday,False,Spring,0.0,Night (0-5),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-04-20
2023,2,6,23,11,Sunday,True,Summer,0.0,Night (0-5),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-06-11
2023,2,5,22,30,Tuesday,False,Spring,15.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-05-30
2023,4,10,41,14,Saturday,True,Fall,23.0,Evening (18-23),Part1,MV THEFT,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-10-14
2023,3,7,30,26,Wednesday,False,Summer,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-07-26
